ImpressionID,UserID,SessionID,AdID,AdCategory,Timestamp,Device,OS,Browser,Location,PageID,Referrer,ImpressionCost,ClickID,ClickPosition,ClickCost
imp30,user33,sess51,ad25,Electronics,2023-08-03 23:13:05,Mobile,iOS,Safari,Canada,page3,Google,0.20951373978130267,click30,Banner,0.5405962292837643
imp31,user71,sess189,ad46,Health,2023-12-10 16:05:44,Tablet,Linux,Safari,France,page100,Direct,0.9435328919377015,click31,Header,1.4991358318820027
imp32,user71,sess200,ad4,Apparel,2023-10-07 16:54:30,Desktop,Linux,Opera,Canada,page24,Direct,0.1342953419257858,click32,Footer,0.33857216834838383
imp33,user73,sess7,ad8,Entertainment,2023-03-24 20:35:48,Desktop,macOS,Edge,Canada,page76,Twitter,1.3837103027247617,click33,Banner,0.28209230376394345
imp34,user81,sess44,ad6,Electronics,2023-09-06 06:46:48,Desktop,iOS,Safari,India,page92,Direct,1.3139228290702039,click34,Footer,0.4090268572997925
imp35,user30,sess173,ad25,Electronics,2023-08-11 19:14:20,Desktop,Linux,Safari,Canada,page56,Google,0.638627639205282,click35,Popup,1.8241633567212923
imp36,user73,sess77,ad41,Health,2023-02-11 01:32:08,Desktop,Windows,Edge,Japan,page21,Facebook,0.8298985347191394,click36,Popup,1.8229853695024822
imp37,user99,sess178,ad7,Education,2023-12-29 02:03:25,Tablet,Windows,Firefox,China,page40,LinkedIn,0.38135095966046056,click37,Banner,0.11558166502812961
imp38,user41,sess163,ad6,Services,2023-02-06 09:41:13,Tablet,iOS,Opera,India,page70,Google,0.26946471254788595,click38,Footer,0.44490750777043436
imp39,user27,sess81,ad10,Health,2023-06-19 17:35:26,Mobile,Linux,Opera,China,page56,Facebook,0.35810386180401155,click39,Header,1.4451828195759355
imp40,user43,sess154,ad15,Education,2023-08-04 00:49:58,Tablet,iOS,Opera,Japan,page61,LinkedIn,0.32040472969026185,click40,Header,1.8277829249404793
imp41,user17,sess69,ad5,Entertainment,2023-06-25 00:43:45,Desktop,macOS,Edge,Australia,page84,Direct,0.04012776620061238,click41,Popup,0.3777764318240727
imp42,user79,sess51,ad40,Health,2023-05-22 19:05:02,Desktop,macOS,Opera,Australia,page56,Facebook,1.3637605422414987,click42,Sidebar,0.8850840403254938
imp43,user21,sess186,ad9,Apparel,2023-12-05 21:21:24,Desktop,Linux,Edge,France,page16,Twitter,0.2089783606637331,click43,Footer,1.5940804631067196
imp44,user36,sess21,ad14,Education,2023-05-09 08:10:25,Mobile,macOS,Chrome,Spain,page87,Direct,1.4070427677328876,click44,Sidebar,1.4982114871277155
imp45,user36,sess78,ad15,Electronics,2023-10-16 11:06:07,Desktop,macOS,Opera,Germany,page46,Google,0.20819849078589703,click45,Popup,1.9869654187232442
imp46,user5,sess118,ad43,Services,2023-08-16 21:49:44,Mobile,Android,Edge,Spain,page29,Google,1.1513539261106174,click46,Popup,0.39649233746571527
imp47,user5,sess116,ad16,Health,2023-03-18 14:48:09,Tablet,Windows,Chrome,Spain,page18,Facebook,0.07000920238611176,click47,Banner,0.7930956459463999
imp48,user59,sess144,ad8,Education,2023-03-05 21:15:25,Mobile,macOS,Opera,France,page82,Direct,0.16587783445840076,click48,Sidebar,1.143510631385422
imp49,user26,sess61,ad46,Health,2023-06-13 09:06:26,Desktop,Windows,Edge,Japan,page76,Twitter,0.2849614024293704,click49,Banner,1.6869743696407076
imp50,user11,sess153,ad19,Electronics,2023-06-20 21:11:20,Tablet,Linux,Chrome,USA,page32,LinkedIn,0.7955562009450685,click50,Header,1.7595140807154317
imp51,user15,sess122,ad40,Apparel,2023-11-21 19:15:49,Tablet,Windows,Firefox,Australia,page2,Google,0.12311266612742246,click51,Sidebar,0.7538394766969938
imp52,user52,sess77,ad44,Entertainment,2023-07-21 01:19:50,Mobile,Windows,Edge,Spain,page56,LinkedIn,0.1124265626411986,click52,Popup,1.360312780205532
imp53,user64,sess107,ad6,Entertainment,2023-05-28 20:12:12,Desktop,Windows,Safari,China,page63,LinkedIn,0.7288730172003964,click53,Popup,0.010332228349976177
imp54,user45,sess111,ad46,Health,2023-03-01 12:14:06,Mobile,Windows,Firefox,France,page97,LinkedIn,1.282051950185566,click54,Header,0.8312297544984577
imp55,user78,sess39,ad9,Health,2023-09-28 15:29:57,Tablet,Linux,Edge,Japan,page96,Twitter,0.4219474652317778,click55,Popup,1.8005918519557005
imp56,user76,sess36,ad10,Services,2023-02-18 01:23:01,Mobile,Linux,Chrome,UK,page5,Google,1.0349344764115662,click56,Banner,0.34442231936030815
imp57,user67,sess57,ad36,Education,2023-04-15 02:31:54,Tablet,iOS,Safari,Spain,page78,Twitter,1.2585665321439072,click57,Header,0.49316625370529504
imp58,user9,sess83,ad48,Electronics,2023-02-04 10:15:30,Tablet,Android,Chrome,Canada,page43,Twitter,0.10030949413852853,click58,Sidebar,0.6476973736982334
imp59,user53,sess89,ad17,Health,2023-03-24 19:36:01,Desktop,Linux,Safari,Japan,page22,Direct,0.9130105527803218,click59,Popup,0.7835732562652816
imp60,user48,sess2,ad23,Entertainment,2023-01-08 12:14:49,Tablet,macOS,Opera,Germany,page4,Twitter,1.4715366344836354,click60,Popup,0.5462291269008763
imp61,user88,sess175,ad38,Entertainment,2023-10-28 21:24:20,Tablet,Android,Chrome,China,page55,Google,0.01816010572251862,click61,Popup,1.71672584604847
imp62,user48,sess14,ad21,Electronics,2023-05-12 13:05:31,Tablet,iOS,Edge,Germany,page29,Direct,0.13948286680016422,click62,Popup,0.36733927209616885
imp63,user8,sess78,ad2,Apparel,2023-11-16 15:40:20,Mobile,Linux,Opera,Japan,page33,Facebook,0.5640230300681766,click63,Popup,1.5740930289308663
imp64,user50,sess18,ad30,Health,2023-03-29 21:51:13,Desktop,Android,Safari,Germany,page37,Twitter,0.09388169587165737,click64,Sidebar,0.6904131169682287
imp65,user21,sess166,ad41,Health,2023-04-22 19:20:27,Tablet,Windows,Edge,UK,page71,Google,0.8744385552558129,click65,Sidebar,1.3430768187544428
imp66,user95,sess77,ad9,Apparel,2023-07-07 14:54:40,Mobile,macOS,Opera,USA,page19,Google,0.10071986134257722,click66,Footer,0.30274746704100347
imp67,user9,sess193,ad1,Entertainment,2023-11-30 08:13:11,Desktop,Linux,Edge,India,page4,Direct,1.4929680546296933,click67,Banner,1.522346780868977
imp68,user60,sess95,ad14,Electronics,2023-06-25 15:12:51,Mobile,macOS,Opera,Germany,page66,LinkedIn,1.07054993529186,click68,Popup,1.2286835261007025
imp69,user62,sess19,ad18,Electronics,2023-10-09 05:40:11,Desktop,macOS,Chrome,Spain,page7,Facebook,0.3100324091806502,click69,Sidebar,1.348231785621418
imp70,user37,sess59,ad41,Electronics,2023-10-15 00:50:45,Desktop,iOS,Opera,USA,page55,Direct,1.2594204141513963,click70,Footer,1.9066905516384958
imp71,user84,sess48,ad34,Services,2023-05-23 17:07:49,Desktop,Linux,Opera,France,page8,Facebook,0.3566778809927763,click71,Banner,0.9445685487275639
imp72,user62,sess119,ad46,Entertainment,2023-07-14 12:53:20,Tablet,iOS,Opera,Australia,page80,Twitter,1.3588167407494467,click72,Banner,0.46288711382852343
imp73,user16,sess88,ad35,Education,2023-10-04 08:06:51,Desktop,Android,Safari,UK,page93,LinkedIn,0.18284227986493876,click73,Popup,0.3440426189284232
imp74,user84,sess109,ad36,Electronics,2023-03-12 16:43:52,Mobile,Windows,Edge,France,page61,Twitter,1.1390990057980375,click74,Footer,0.4250231246669831
imp75,user65,sess35,ad14,Entertainment,2023-10-12 09:17:29,Desktop,macOS,Opera,USA,page36,Facebook,0.8736888962017628,click75,Footer,0.582139157397961
imp76,user67,sess166,ad49,Services,2023-10-21 22:23:11,Desktop,iOS,Chrome,Spain,page3,Twitter,1.1675294621274694,click76,Sidebar,1.2893714865492423
imp77,user4,sess49,ad32,Health,2023-09-28 12:22:41,Mobile,Android,Chrome,Canada,page34,Twitter,0.6226912685459697,click77,Header,0.9901877416172788
imp78,user96,sess142,ad39,Education,2023-06-22 19:17:56,Mobile,Android,Edge,USA,page62,Google,0.807900906263175,click78,Popup,1.753660066297305
imp79,user85,sess69,ad15,Entertainment,2023-06-20 02:13:19,Mobile,macOS,Opera,Germany,page97,Direct,0.5387306486392931,click79,Popup,1.040496021724386
imp80,user35,sess132,ad25,Services,2023-06-29 09:04:17,Mobile,macOS,Opera,Australia,page80,Google,1.3805500256077132,click80,Footer,1.5453662114602635
imp81,user25,sess180,ad43,Services,2023-04-25 05:07:43,Desktop,Android,Opera,France,page22,Twitter,0.1308319150937096,click81,Header,1.9746598226230634
imp82,user77,sess84,ad30,Electronics,2023-11-06 01:32:01,Desktop,Android,Firefox,Japan,page77,Facebook,0.798415515701947,click82,Footer,1.1663440498958721
imp83,user97,sess103,ad26,Education,2023-04-14 03:22:37,Mobile,iOS,Edge,Canada,page45,Google,0.3712712479156041,click83,Sidebar,0.5814824588759088
imp84,user7,sess179,ad8,Apparel,2023-02-26 19:56:50,Desktop,Linux,Firefox,Australia,page63,Facebook,1.1944618062145942,click84,Header,0.3094800253502005
imp85,user79,sess188,ad24,Apparel,2023-07-12 23:46:58,Tablet,Linux,Edge,India,page44,Direct,1.2126424242273606,click85,Popup,1.1037983017339716
imp86,user8,sess165,ad16,Education,2023-03-14 23:13:07,Mobile,macOS,Firefox,China,page82,Twitter,1.1733567478798368,click86,Sidebar,0.5341901792646103
imp87,user34,sess55,ad50,Education,2023-08-17 03:50:53,Mobile,Windows,Safari,China,page5,Facebook,0.8828791917727141,click87,Header,1.8866050172415685
imp88,user33,sess46,ad17,Services,2023-03-31 00:09:34,Tablet,Linux,Edge,China,page91,Facebook,1.0649516461791673,click88,Header,1.923547803026512
imp89,user34,sess10,ad21,Apparel,2023-07-22 14:11:07,Desktop,Android,Edge,Japan,page88,Facebook,0.3264968540788212,click89,Header,1.7779787287655373
imp90,user25,sess121,ad16,Entertainment,2023-06-11 11:23:14,Desktop,Windows,Chrome,UK,page16,Facebook,0.8736961804309777,click90,Footer,0.9229159444428569
imp91,user84,sess104,ad33,Services,2023-01-19 05:38:48,Mobile,Windows,Firefox,Germany,page95,Facebook,0.7686811671372528,click91,Footer,1.1484427969802105
imp92,user91,sess6,ad15,Health,2023-08-02 08:40:51,Mobile,Android,Firefox,Canada,page95,Facebook,0.768176131416759,click92,Header,1.0680977212358094
imp93,user94,sess188,ad11,Services,2023-10-27 00:45:57,Desktop,Windows,Opera,Germany,page64,Google,1.329828926787242,click93,Popup,1.97635454928468
imp94,user28,sess36,ad26,Education,2023-07-06 15:52:40,Tablet,iOS,Safari,Germany,page95,Direct,0.35707481566382926,click94,Banner,1.5315259176231373
imp95,user90,sess39,ad43,Apparel,2023-08-13 08:25:43,Tablet,macOS,Firefox,China,page43,LinkedIn,0.8705577417752095,click95,Banner,0.8563730519269881
imp96,user98,sess26,ad29,Apparel,2023-06-29 02:21:44,Desktop,Android,Chrome,Spain,page6,Twitter,0.02021801948028151,click96,Header,0.7794626202148833
imp97,user46,sess51,ad50,Entertainment,2023-10-22 01:21:30,Desktop,Android,Safari,USA,page97,Direct,0.36382760142198906,click97,Popup,1.2019585686982786
imp98,user48,sess25,ad16,Health,2023-02-27 02:05:15,Tablet,Android,Chrome,China,page66,Facebook,1.0597548997148043,click98,Footer,1.2360278526079462
imp99,user96,sess111,ad10,Education,2023-11-25 23:49:05,Mobile,Linux,Edge,USA,page81,Google,0.9695889203963698,click99,Header,0.7715993761213499
imp100,user39,sess64,ad39,Health,2023-10-03 22:04:49,Mobile,Android,Chrome,France,page19,Facebook,1.4542951873993022,click100,Footer,1.0703104774321757
imp101,user24,sess91,ad31,Education,2023-01-25 05:28:26,Mobile,iOS,Chrome,India,page27,Direct,1.064674820494589,click101,Sidebar,0.8207773757239242
imp102,user81,sess124,ad35,Apparel,2023-01-23 15:33:56,Tablet,Linux,Safari,USA,page2,LinkedIn,0.4364738165939519,click102,Header,0.8640605807994275
imp103,user2,sess132,ad24,Entertainment,2023-10-25 00:09:43,Tablet,iOS,Opera,France,page27,Twitter,1.373010534078439,click103,Header,1.5287220598965463
imp104,user65,sess169,ad15,Electronics,2023-08-23 01:18:56,Tablet,Linux,Chrome,UK,page16,Google,1.4767636225298686,click104,Header,1.7509466461669776
imp105,user88,sess195,ad24,Electronics,2023-05-29 00:27:48,Tablet,macOS,Safari,UK,page99,Facebook,1.0386990400578124,click105,Banner,0.020103619499993078
imp106,user9,sess57,ad21,Electronics,2023-10-09 05:18:59,Mobile,iOS,Firefox,UK,page61,Twitter,1.3994001000852374,click106,Header,0.010322691132102407
imp107,user34,sess7,ad22,Education,2023-10-24 08:43:56,Desktop,macOS,Firefox,Japan,page7,Twitter,0.9337219557850813,click107,Banner,0.22177070409212346
imp108,user75,sess147,ad47,Electronics,2023-02-27 14:06:34,Desktop,Linux,Opera,France,page14,Facebook,0.7615196896554505,click108,Popup,1.9885063952294835
imp109,user3,sess13,ad42,Education,2023-10-23 04:23:31,Tablet,Linux,Safari,Germany,page15,LinkedIn,0.4260531027111009,click109,Banner,1.9013238092035822
imp110,user71,sess150,ad11,Electronics,2023-08-05 18:06:56,Mobile,macOS,Firefox,India,page48,Facebook,1.1155125473023337,click110,Sidebar,0.619117077103791
imp111,user72,sess66,ad13,Education,2023-05-16 16:11:52,Desktop,Windows,Edge,Australia,page60,Facebook,0.4583996032174365,click111,Sidebar,1.1979693964762124
imp112,user10,sess178,ad23,Electronics,2023-11-26 15:05:34,Tablet,Android,Chrome,Spain,page100,Twitter,0.05349375582439849,click112,Footer,0.602189889218712
imp113,user37,sess63,ad18,Health,2023-05-07 17:36:46,Mobile,Android,Edge,Australia,page56,LinkedIn,0.13454997940595922,click113,Header,1.3699096664033645
imp114,user13,sess59,ad10,Education,2023-07-10 06:14:04,Tablet,iOS,Chrome,Australia,page89,Twitter,0.9306438125082308,click114,Footer,0.22604612889867381
imp115,user77,sess88,ad45,Education,2023-08-08 12:09:56,Desktop,macOS,Firefox,Japan,page37,Direct,1.236103036129303,click115,Header,0.12681250613761288
imp116,user51,sess24,ad30,Education,2023-04-30 12:11:39,Desktop,Android,Safari,Japan,page48,LinkedIn,1.3671043425799332,click116,Footer,0.7506595569112917
imp117,user49,sess159,ad29,Services,2023-08-18 08:45:05,Desktop,iOS,Safari,Canada,page30,LinkedIn,1.1492009619294976,click117,Header,0.43961095647514004
imp118,user15,sess32,ad3,Services,2023-04-14 10:58:09,Desktop,macOS,Opera,France,page96,LinkedIn,0.9782157093034296,click118,Sidebar,0.6460866455743612
imp119,user68,sess127,ad14,Electronics,2023-03-30 14:53:05,Tablet,Linux,Safari,Spain,page52,Direct,1.2500382920000703,click119,Header,0.3753063202158909
imp120,user50,sess138,ad40,Education,2023-09-07 14:43:08,Desktop,iOS,Chrome,Germany,page99,LinkedIn,0.8927751433245935,click120,Popup,0.2509643985521152
imp121,user30,sess160,ad21,Education,2023-11-09 04:59:49,Tablet,Linux,Opera,India,page27,Twitter,0.4901373977394173,click121,Banner,1.304409869782767
imp122,user87,sess13,ad4,Electronics,2023-09-07 23:27:34,Mobile,Linux,Chrome,Australia,page51,Google,0.22587583831067626,click122,Sidebar,1.2757303872929966
imp123,user70,sess31,ad24,Apparel,2023-04-26 15:47:35,Desktop,Linux,Safari,Japan,page25,LinkedIn,0.6414445026288554,click123,Header,1.334035287660767
imp124,user29,sess88,ad3,Entertainment,2023-07-23 02:20:43,Desktop,Windows,Edge,India,page32,Twitter,1.390863538176589,click124,Popup,0.07765485556615605
imp125,user90,sess189,ad23,Health,2023-07-11 16:41:43,Tablet,macOS,Safari,Spain,page24,LinkedIn,1.3427034324560239,click125,Banner,0.4405389013827115
imp126,user10,sess186,ad4,Apparel,2023-04-04 14:38:21,Mobile,Linux,Edge,China,page100,Facebook,0.8664442916398233,click126,Footer,1.7200259455953681
imp127,user13,sess67,ad6,Education,2023-07-17 22:49:14,Tablet,Linux,Safari,UK,page37,Facebook,0.8887491118585201,click127,Popup,0.3544502230937505
imp128,user73,sess81,ad3,Entertainment,2023-05-21 22:50:48,Mobile,macOS,Edge,France,page11,Facebook,0.5035873071174082,click128,Footer,1.459782494164594
imp129,user68,sess22,ad7,Services,2023-07-05 18:21:19,Desktop,Windows,Chrome,Japan,page7,Facebook,0.6966258591128456,click129,Sidebar,1.8635024905956588
imp130,user73,sess61,ad27,Health,2023-04-26 10:06:55,Desktop,macOS,Chrome,Australia,page49,Facebook,0.42410288649884814,click130,Popup,1.0511103233483583
imp131,user49,sess170,ad12,Education,2023-07-11 09:27:29,Desktop,Linux,Firefox,Germany,page63,Google,0.9612017027856066,click131,Header,0.8071998214643026
imp132,user63,sess45,ad13,Entertainment,2023-11-11 11:09:01,Tablet,Linux,Safari,Japan,page22,LinkedIn,0.6576876884138194,click132,Footer,1.2726469498875141
imp133,user31,sess11,ad32,Education,2023-05-02 06:34:18,Tablet,Android,Safari,USA,page79,Twitter,0.022965349449982582,click133,Footer,0.21931411173215895
imp134,user86,sess156,ad34,Services,2023-05-31 14:20:13,Desktop,macOS,Opera,Germany,page94,Twitter,0.08907452408504461,click134,Header,1.6971368837620955
imp135,user50,sess106,ad19,Health,2023-11-10 15:26:45,Mobile,Windows,Edge,India,page9,Twitter,1.2259129472109909,click135,Footer,1.7884036959702239
imp136,user17,sess126,ad8,Entertainment,2023-03-23 09:33:02,Tablet,Android,Firefox,China,page17,Facebook,1.3735566239384214,click136,Footer,0.9719214621379663
imp137,user44,sess21,ad11,Entertainment,2023-12-28 11:09:23,Tablet,iOS,Safari,UK,page17,Direct,1.1791923176704402,click137,Footer,0.6443944656272114
imp138,user88,sess165,ad45,Services,2023-05-09 13:28:17,Desktop,Windows,Edge,China,page4,Facebook,1.1380122308679796,click138,Header,0.15882506675990596
imp139,user23,sess196,ad2,Health,2023-06-11 18:49:00,Tablet,Linux,Opera,India,page32,Direct,0.6328321938671168,click139,Sidebar,0.7727229444338957
imp140,user22,sess10,ad10,Education,2023-09-19 05:16:02,Mobile,Linux,Opera,UK,page37,Facebook,1.4878839859465278,click140,Sidebar,1.2937520039851342
imp141,user8,sess123,ad5,Electronics,2023-06-30 00:59:39,Mobile,iOS,Safari,China,page2,Twitter,0.788833045556344,click141,Footer,1.289470074574419
imp142,user69,sess144,ad15,Apparel,2023-04-09 09:48:36,Tablet,Windows,Opera,China,page81,Direct,0.5033601383815125,click142,Sidebar,0.6359596870243311
imp143,user29,sess33,ad22,Health,2023-11-07 17:02:17,Desktop,Linux,Firefox,Germany,page11,Google,1.3246724328221726,click143,Banner,1.4458068819003735
imp144,user100,sess86,ad28,Apparel,2023-12-27 08:34:14,Mobile,iOS,Opera,UK,page16,Facebook,0.3000182704578432,click144,Sidebar,0.7160720084787523
imp145,user32,sess176,ad28,Entertainment,2023-04-30 02:45:18,Desktop,Linux,Opera,Germany,page6,Direct,0.24178875432725908,click145,Popup,0.5479903389591426
imp146,user32,sess18,ad32,Health,2023-09-12 23:31:08,Desktop,iOS,Opera,Germany,page39,LinkedIn,1.099261479987724,click146,Banner,0.14493464153957383
imp147,user90,sess69,ad16,Services,2023-04-02 13:13:57,Mobile,Linux,Safari,Germany,page42,Facebook,1.2323043456362521,click147,Header,0.12812491536925447
imp148,user1,sess115,ad27,Health,2023-01-04 10:21:50,Desktop,iOS,Safari,Japan,page2,Google,1.339118397641655,click148,Footer,0.08396237801357045
imp149,user42,sess97,ad15,Entertainment,2023-11-20 09:24:40,Tablet,macOS,Edge,Germany,page70,LinkedIn,0.07044811915283483,click149,Footer,1.216209851658407
imp150,user66,sess149,ad14,Services,2023-09-20 22:44:41,Desktop,Linux,Safari,Japan,page24,Facebook,0.11052401524121135,click150,Popup,0.582517434475921
imp151,user41,sess101,ad38,Apparel,2023-01-17 06:25:48,Desktop,Linux,Safari,UK,page100,Twitter,1.3011664562214365,click151,Sidebar,0.6693541225425995
imp152,user72,sess181,ad12,Apparel,2023-01-10 00:00:37,Mobile,iOS,Opera,Japan,page88,LinkedIn,0.742310047881122,click152,Sidebar,0.0854205590158856
imp153,user81,sess151,ad46,Entertainment,2023-01-30 15:06:52,Tablet,macOS,Safari,Japan,page49,Twitter,1.0599866481413351,click153,Popup,1.076575243759185
imp154,user84,sess182,ad18,Services,2023-01-19 18:02:29,Mobile,macOS,Chrome,UK,page71,Direct,0.11402503602303755,click154,Popup,0.8804780232999274
imp155,user17,sess183,ad17,Services,2023-07-12 13:55:40,Desktop,macOS,Safari,USA,page31,Direct,0.7258428575169773,click155,Banner,1.5320379554841372
imp156,user79,sess149,ad45,Education,2023-01-03 08:50:22,Mobile,Linux,Chrome,China,page51,Google,0.31031358465319525,click156,Popup,0.7937177899434881
imp157,user17,sess20,ad5,Health,2023-04-24 07:01:19,Desktop,Windows,Edge,Japan,page31,Google,0.3564580790066277,click157,Banner,0.35137405668852423
imp158,user54,sess103,ad34,Entertainment,2023-01-04 07:04:49,Mobile,Windows,Edge,USA,page78,Google,1.2525287692737994,click158,Banner,1.8540126658922937
imp159,user52,sess60,ad40,Electronics,2023-07-04 23:54:13,Desktop,macOS,Safari,Germany,page48,LinkedIn,1.027527801580008,click159,Footer,0.6472530518823106
imp160,user89,sess8,ad46,Electronics,2023-10-24 03:15:24,Desktop,Linux,Safari,Japan,page63,Facebook,0.5511186228906335,click160,Sidebar,0.8338316600948025
imp161,user58,sess187,ad31,Apparel,2023-09-25 18:23:58,Mobile,Linux,Edge,UK,page14,Twitter,0.6073449146502179,click161,Banner,1.8172817147416978
imp162,user50,sess25,ad27,Apparel,2023-04-26 09:10:21,Tablet,Windows,Safari,UK,page98,LinkedIn,1.1925613484718125,click162,Popup,0.9371993421995074
imp163,user18,sess100,ad47,Entertainment,2023-05-18 22:58:40,Desktop,Linux,Safari,China,page22,LinkedIn,1.1586191604875202,click163,Header,1.5530943131065638
imp164,user22,sess97,ad18,Education,2023-11-05 13:25:42,Desktop,iOS,Edge,China,page67,Direct,1.2036179867907713,click164,Banner,0.9643256163142272
imp165,user7,sess67,ad1,Entertainment,2023-05-25 17:49:25,Tablet,macOS,Chrome,France,page53,Twitter,1.4541995868301407,click165,Popup,1.833158338087801
imp166,user20,sess93,ad48,Apparel,2023-02-01 06:13:56,Desktop,iOS,Safari,UK,page1,LinkedIn,0.18891560824980907,click166,Header,1.6260165403011226
imp167,user76,sess163,ad29,Health,2023-10-30 08:51:32,Desktop,macOS,Chrome,Canada,page32,Twitter,1.2261117339312486,click167,Banner,0.6816546095663792
imp168,user75,sess147,ad37,Education,2023-07-14 12:43:03,Tablet,macOS,Edge,Japan,page18,Direct,0.05379475646462939,click168,Sidebar,1.9313833598722618
imp169,user46,sess133,ad44,Electronics,2023-01-01 15:15:03,Desktop,macOS,Firefox,Spain,page3,Google,1.006417871596529,click169,Banner,1.9222090569656212
